Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff,keep
One Piece,31/08/2023,TV-14,8.3,208183,"Action, Adventure, Comedy, Drama, Fantasy",2023,series,y,one piece,eiichiro oda,one piece,0,y
Man on Fire,30/04/2026,TV-MA,6.7,11900,"Action, Crime, Drama, Thriller",2026,series,y,man on fire,a. j. quinnell,man on fire,0,y
The Lincoln Lawyer,13/05/2022,TV-MA,7.8,98527,"Crime, Drama, Mystery, Thriller",2022,series,y,the brass verdict,michael connelly,the brass verdict,0,y
Forever,08/05/2025,TV-MA,7.6,4911,"Drama, Romance",2025,series,y,forever…,judy blume,forever…,0,y
Leviathan,10/07/2025,TV-14,6.7,788,"Animation, Action, Drama, Fantasy, History, Sci-Fi, War",2025,series,y,leviathan,scott westerfeld,leviathan,0,y
Flunked,23/04/2026,,6.6,1121,Comedy,2026,series,y,flunked,jen calonita,flunked,0,y
Viral Hit,11/06/2026,TV-MA,7.1,524,"Action, Drama, Thriller",2026,series,y,viral hit,park tae-jun,viral hit,0,y
