Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff
The House of the Spirits,29/04/2026,R,6.9,26147.0,"Drama, Romance",1993,movie,y,the house of the spirits,isabel allende,the house of the spirits,33
Malice,14/11/2025,R,6.5,30561.0,"Crime, Mystery, Thriller",1993,movie,y,malice,keigo higashino,malice,32
The Silent Service,09/02/2024,,6.5,308.0,"Action, Drama, Thriller",2023,movie,y,the silent service,kaiji kawaguchi,the silent service,1
