Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff
One Piece,31/08/2023,TV-14,9.0,350970,"Animation, Action, Adventure",1999,series,y,one piece,eiichiro oda,one piece,24
Man on Fire,30/04/2026,R,7.7,420267,"Action, Crime, Drama",2004,movie,y,man on fire,a. j. quinnell,man on fire,22
The Lincoln Lawyer,13/05/2022,R,7.3,266302,"Crime, Drama, Mystery",2011,movie,y,the brass verdict,michael connelly,the brass verdict,11
Forever,08/05/2025,TV-PG,8.2,65147,"Crime, Drama, Fantasy",2014,series,y,forever…,judy blume,forever…,11
Leviathan,10/07/2025,R,7.6,59296,"Crime, Drama",2014,movie,y,leviathan,scott westerfeld,leviathan,11
Flunked,23/04/2026,,4.1,19,Comedy,2019,series,y,flunked,jen calonita,flunked,7
Viral Hit,11/06/2026,,7.1,1346,"Animation, Action",2024,series,y,viral hit,park tae-jun,viral hit,2
