Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key,year_diff,keep
The House of the Spirits,29/04/2026,R,7.7,1779.0,"Drama, Romance, Haunting",2026,series,y,the house of the spirits,isabel allende,the house of the spirits,0,y
Malice,14/11/2025,R,6.5,30561.0,"Crime, Mystery, Thriller",1993,movie,y,malice,keigo higashino,malice,32,n
The Silent Service,09/02/2024,,6.9,263.0,"Action, Drama, Thriller",2024,series,y,the silent service,kaiji kawaguchi,the silent service,0,y
