Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Gabby's Dollhouse,05/01/2021,G,5.5,2474,"Animation, Adventure, Comedy",2025,movie,n,,
The Creature Cases,12/04/2022,TV-Y,7.6,306,"Animation, Action, Adventure",2022,series,n,,
Cocomelon Lane,17/11/2023,TV-Y,3.9,896,"Animation, Comedy, Family",2023,series,n,,
Barbie Mysteries,01/11/2024,TV-Y,6.5,39,"Animation, Adventure, Comedy",2024,series,n,,
"Dr. Seuss's Red Fish, Blue Fish",08/09/2025,TV-G,7.3,42,"Animation, Adventure, Comedy",2025,series,y,One Fish Two Fish Red Fish Blue Fish,Dr. Seuss
Unicorn Academy: Secrets Revealed,19/03/2026,N/A,8.2,74,"Animation, Adventure, Comedy",2026,series,n,,
Stranger Things: Tales from '85,23/04/2026,TV-PG,5.8,6215,"Animation, Adventure, Drama",2026,series,n,,
Roosters,28/02/2025,TV-MA,6.8,579,Comedy,2025,series,n,,
Football Parents,16/05/2025,TV-MA,6.1,803,"Comedy, Sport",2025,series,n,,
Lupin,08/01/2021,TV-MA,7.5,154909,"Action, Crime, Drama",2021,series,y,Arsène Lupin series,Maurice Leblanc
Blood Coast,06/12/2023,TV-MA,7,2879,"Action, Crime, Drama",2023,series,n,,
Furies,01/03/2024,TV-MA,6.3,3994,"Action, Crime, Drama",2024,series,n,,
The Cage,08/11/2024,TV-MA,6.5,2684,"Biography, Drama, Sport",2024,series,n,,
Under a Dark Sun,09/07/2025,TV-MA,5.9,1722,"Crime, Drama, Mystery",2025,series,n,,
Young Millionaires,13/08/2025,TV-MA,5.8,813,"Comedy, Drama",2025,series,n,,
NÃ©ro the Assassin,08/10/2025,TV-MA,6.8,3713,"Action, Adventure, Drama",2025,series,n,,
Bandi,09/04/2026,N/A,6.5,613,"Crime, Drama",2026,series,n,,
Flunked,23/04/2026,N/A,4.1,19,Comedy,2019,series,y,Flunked,Jen Calonita
The Empress,29/09/2022,TV-MA,7.8,20249,"Drama, History, Romance",2022,series,y,The Empress,Gigi Griffis
Crooks,04/04/2024,TV-MA,7,3917,"Action, Crime, Drama",2024,series,n,,
Murder Mindfully,31/10/2024,TV-MA,7.4,10956,"Comedy, Crime, Mystery",2024,series,y,Murder Mindfully,Karsten Dusse
Dudes,02/10/2025,N/A,7.9,8402,"Comedy, Music, Musical",2001,movie,n,,
Unfamiliar,05/02/2026,N/A,6.8,838,"Action, Crime, Drama",2026,series,n,,
Delhi Crime,22/03/2019,TV-MA,8.5,27723,"Crime, Drama",2019,series,n,,
Mismatched,20/11/2020,TV-MA,6,6256,"Comedy, Drama, Romance",2020,series,y,When Dimple Met Rishi,Sandhya Menon
Yeh Kaali Kaali Ankhein,14/01/2022,TV-MA,7,9964,"Comedy, Crime, Mystery",2022,series,n,,
Guns & Gulaabs,18/08/2023,R,4.4,1578,Action,1990,movie,n,,
Maamla Legal Hai,01/03/2024,TV-MA,8,10079,"Comedy, Drama",2024,series,n,,
Heeramandi: The Diamond Bazaar,01/05/2024,TV-MA,6.3,28874,"Drama, History, Romance",2024,series,n,,
Black Warrant,10/01/2025,TV-MA,7.9,7552,"Crime, Drama",2025,series,y,Black Warrant: Confessions of a Tihar Jailer,"Sunil Gupta, Sunetra Choudhury"
The Royals,09/05/2025,TV-14,7.4,14626,Drama,2015,series,n,,
The Ba***ds of Bollywood,18/09/2025,TV-MA,7.7,7379,"Adventure, Comedy, Drama",2025,series,n,,
Single Papa,12/12/2025,TV-MA,8,5351,Comedy,2025,series,n,,
Taskaree: The Smuggler's Web,13/01/2026,TV-MA,7.1,5386,"Crime, Thriller",2026,series,n,,
Glory,01/05/2026,R,7.8,150916,"Biography, Drama, History",1989,movie,n,,
Ratu Ratu Queens: The Series,12/09/2025,TV-14,7,168,"Adventure, Comedy, Drama",2025,series,n,,
My Family,19/02/2025,TV-14,7.5,10714,Comedy,2000,series,n,,
Real Men,21/05/2025,PG-13,6,4847,"Action, Comedy, Sci-Fi",1987,movie,n,,
Motorvalley,10/02/2026,TV-MA,5.6,377,"Drama, Sport",2025,series,n,,
Romantics Anonymous,16/10/2025,PG-13,6.9,12166,"Comedy, Romance",2010,movie,n,,
Last Samurai Standing,13/11/2025,TV-MA,7.6,19071,"Action, Drama, History",2025,series,y,Ikusagami,Shogo Imamura
Straight to Hell,27/04/2026,R,5.6,3023,"Action, Comedy, Western",1987,movie,n,,
Viral Hit,11/06/2026,N/A,7.1,1346,"Animation, Action",2024,series,y,Viral Hit (How to Fight),Park Tae-jun
All of Us Are Dead,28/01/2022,TV-MA,7.6,87687,"Action, Drama, Fantasy",2022,series,y,Now at Our School,Joo Dong-geun
Bloodhounds,09/06/2023,TV-MA,8.1,26563,"Action, Crime, Drama",2023,series,y,Bloodhounds,Jeong Chan
The Price of Confession,05/12/2025,TV-MA,7.6,3034,"Crime, Drama, Mystery",2025,series,y,The Price of Confession,Kwon Min-soo
The Resurrected,09/10/2025,R,6.2,5099,Horror,1991,movie,n,,
Million-Follower Detective,12/02/2026,TV-MA,5.9,206,"Crime, Drama, Thriller",2026,series,y,The Case Files of Young Blood,Feng Nong
Agent from Above,02/04/2026,TV-MA,6.3,604,"Action, Adventure, Crime",2026,series,n,,
1670,13/12/2023,TV-MA,7.9,9359,"Comedy, History",2023,series,n,,
"Go Ahead, Brother",30/10/2024,TV-MA,7.1,1358,"Crime, Drama, Thriller",2024,series,n,,
The Mothers of Penguins,13/11/2024,TV-MA,7.4,810,"Drama, Sport",2024,series,n,,
Criminal Code,14/11/2023,TV-MA,7.2,2354,"Action, Crime, Drama",2023,series,n,,
Rulers of Fortune,29/10/2025,TV-MA,7.4,1725,"Crime, Drama",2025,series,n,,
Alpha Males,30/12/2022,N/A,7.6,10987,Comedy,2022,series,n,,
Community Squad,17/02/2023,TV-MA,7.6,3601,"Comedy, Crime",2023,series,n,,
The Manny,24/12/2023,N/A,5.6,2317,"Comedy, Drama, Family",2015,movie,n,,
Gangs of Galicia,21/06/2024,TV-MA,6.4,2132,"Crime, Drama, Thriller",2024,series,n,,
The Accident,21/08/2024,TV-MA,5.7,3171,"Drama, Thriller",2024,series,n,,
Breathless,30/08/2024,Not Rated,7.6,95230,"Crime, Drama",1961,movie,n,,
One Hundred Years of Solitude,11/12/2024,TV-MA,8.3,18967,"Drama, Fantasy, History",2024,series,y,One Hundred Years of Solitude,Gabriel García Márquez
Medusa,05/03/2025,N/A,5.2,1296,"Drama, Thriller",2025,series,n,,
The Eternaut,30/04/2025,TV-MA,7.3,35583,"Action, Adventure, Drama",2025,series,y,The Eternaut,Héctor Germán Oesterheld
The Gringo Hunters,09/07/2025,TV-MA,6.4,1214,"Action, Crime, Drama",2025,series,n,,
