Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Brad's Status,15/09/2017,R,6.5,19482,"Comedy, Drama, Music",2017,movie,n,,
Pass Over,20/04/2018,Not Rated,6.1,1150,Drama,2018,movie,n,,
Guava Island,13/04/2019,TV-MA,6.6,11900,"Comedy, Drama, Music",2019,movie,n,,
Brittany Runs a Marathon,22/11/2019,R,6.8,23753,"Comedy, Drama",2019,movie,n,,
The Report,29/11/2019,R,7.2,54874,"Biography, Crime, Drama",2019,movie,n,,
The Aeronauts,20/12/2019,PG-13,6.6,39885,"Action, Adventure, Drama",2019,movie,y,Falling Upwards: How We Took to the Air,Richard Holmes
Bloodshot,27/03/2020,PG-13,5.7,90285,"Action, Adventure, Sci-Fi",2020,movie,y,Bloodshot,"Kevin VanHook, Don Perlin, Bob Layton"
Ponmagal Vandhal,29/05/2020,TV-MA,6.7,3184,"Crime, Drama, Thriller",2020,movie,n,,
Gulabo Sitabo,12/06/2020,N/A,6.3,13798,"Comedy, Drama",2020,movie,n,,
Penguin,19/06/2020,Not Rated,4.5,2588,"Drama, Mystery, Thriller",2020,movie,n,,
My Spy,26/06/2020,PG-13,6.4,40357,"Action, Comedy",2020,movie,n,,
Sufiyum Sujatayum,03/07/2020,Not Rated,5.5,1585,"Drama, Musical, Romance",2020,movie,n,,
Radioactive,24/07/2020,PG-13,6.3,23792,"Biography, Drama, Romance",2019,movie,y,Radioactive: Marie & Pierre Curie: A Tale of Love and Fallout,Lauren Redniss
French Biriyani,24/07/2020,N/A,5.7,1090,Comedy,2020,movie,n,,
Shakuntala Devi,31/07/2020,N/A,6.2,9820,"Biography, Drama",2020,movie,n,,
Chemical Hearts,21/08/2020,R,6.3,17270,"Drama, Romance",2020,movie,y,Our Chemical Hearts,Krystal Sutherland
C U Soon,01/09/2020,N/A,7.6,7084,"Drama, Mystery, Thriller",2020,movie,n,,
Brutus Vs C̩sar,18/09/2020,N/A,3.7,974,Comedy,2020,movie,n,,
The Postcard Killings,25/09/2020,Not Rated,5.8,18316,"Crime, Drama, Mystery",2020,movie,y,The Postcard Killers,James Patterson & Liza Marklund
Nocturne,13/10/2020,Not Rated,5.7,13458,"Drama, Horror, Music",2020,movie,n,,
Evil Eye,13/10/2020,Not Rated,4.8,4377,"Horror, Mystery, Thriller",2020,movie,y,Evil Eye,Madhuri Shekar
Halal Love Story,15/10/2020,N/A,6.1,1695,Comedy,2020,movie,n,,
Putham Pudhu Kaalai,16/10/2020,N/A,6.8,1847,Drama,2020,movie,n,,
Borat Subsequent Moviefilm,23/10/2020,R,6.6,163791,Comedy,2020,movie,n,,
Bheemasena Nalamaharaja,29/10/2020,N/A,6.8,737,Drama,2020,movie,n,,
Gatham,06/11/2020,N/A,6,1010,Thriller,2020,movie,n,,
Soorarai Pottru,12/11/2020,TV-MA,8.7,127179,Drama,2020,movie,y,Simply Fly: A Deccan Odyssey,G. R. Gopinath
Chhalaang,13/11/2020,TV-14,6.7,20011,"Comedy, Drama, Sport",2020,movie,n,,
Historias lamentables,19/11/2020,N/A,6.6,1974,Comedy,2020,movie,n,,
Middle Class Melodies,20/11/2020,Not Rated,7.5,4051,"Comedy, Drama, Romance",2020,movie,n,,
Force of Nature,23/11/2020,R,4.6,14222,"Action, Adventure, Crime",2020,movie,n,,
Uncle Frank,25/11/2020,R,7.3,24162,"Comedy, Drama",2020,movie,n,,
Bombhaat,03/12/2020,Not Rated,4.5,1708,"Action, Comedy, Sci-Fi",2020,movie,n,,
IIT Krishnamurthy,10/12/2020,N/A,5.9,524,"Drama, Mystery",2020,movie,n,,
I'm Your Woman,11/12/2020,R,6.2,10352,"Crime, Drama",2020,movie,n,,
Durgamati,11/12/2020,TV-MA,4,5710,"Horror, Thriller",2020,movie,n,,
Guvva Gorinka,17/12/2020,N/A,5.1,183,Romance,2020,movie,n,,
Unpaused,18/12/2020,N/A,7,2722,"Drama, Romance",2020,movie,n,,
Sylvie's Love,23/12/2020,PG-13,6.8,6841,"Drama, Music, Romance",2020,movie,n,,
Coolie No. 1,25/12/2020,TV-14,4.2,74728,"Action, Comedy, Romance",2020,movie,n,,
Maara,08/01/2021,N/A,7.5,4250,"Adventure, Mystery, Romance",2021,movie,n,,
Bliss,05/02/2021,R,5.4,21421,"Drama, Romance, Sci-Fi",2021,movie,n,,
The Map of Tiny Perfect Things,12/02/2021,PG-13,6.8,32443,"Comedy, Fantasy, Romance",2021,movie,y,The Map of Tiny Perfect Things,Lev Grossman
Coming 2 America,04/03/2021,PG-13,5.3,80613,"Comedy, Music",2021,movie,n,,
Joji,07/04/2021,N/A,7.8,11968,"Crime, Drama",2021,movie,n,,
Hello Charlie,09/04/2021,N/A,5.3,4474,Comedy,2021,movie,n,,
Well Done Baby,09/04/2021,N/A,4.3,115,Drama,2021,movie,n,,
Without Remorse,30/04/2021,R,5.8,70410,"Action, Drama, Thriller",2021,movie,y,Without Remorse,Tom Clancy
Pachchis,12/06/2021,N/A,5.6,292,"Action, Drama, Thriller",2021,movie,n,,
Sherni,18/06/2021,N/A,6.8,11641,"Action, Adventure, Drama",2021,movie,n,,
The Tomorrow War,02/07/2021,PG-13,6.6,251689,"Action, Adventure, Drama",2021,movie,n,,
Malik,15/07/2021,N/A,8,14286,"Action, Biography, Crime",2021,movie,n,,
Toofaan,16/07/2021,N/A,6.1,52168,"Action, Drama, Sport",2021,movie,n,,
Narappa,20/07/2021,N/A,7.6,4299,"Action, Drama",2021,movie,n,,
Ikkat,21/07/2021,N/A,6.9,746,"Comedy, Drama, Romance",2021,movie,n,,
Sarpatta Parambarai,22/07/2021,N/A,8.5,26459,"Action, Drama, Sport",2021,movie,n,,
Jolt,23/07/2021,R,5.6,39024,"Action, Comedy, Crime",2021,movie,n,,
Kuruthi,11/08/2021,N/A,7.5,6322,Thriller,2021,movie,n,,
Shershaah,12/08/2021,TV-14,8.3,134790,"Action, Biography, Drama",2021,movie,n,,
