Title,Premiere,is_book_adaptation,book_title,book_author
Calibre,29/06/2018,n,,
TAU,29/06/2018,n,,
The Legacy of a Whitetail Deer Hunter,06/07/2018,n,,
How It Ends,13/07/2018,n,,
Father of the Year,20/07/2018,n,,
Duck Duck Goose,20/07/2018,n,,
Extinction,27/07/2018,n,,
Brij Mohan Amar Rahe,03/08/2018,n,,
Like Father,03/08/2018,n,,
The Package,10/08/2018,n,,
To All the Boys I've Loved Before,17/08/2018,y,To All the Boys I've Loved Before,Jenny Han
The After Party,24/08/2018,n,,
Sierra Burgess Is a Loser,07/09/2018,n,,
The Most Assassinated Woman in the World,07/09/2018,n,,
On My Skin,12/09/2018,n,,
The Land of Steady Habits,14/09/2018,y,The Land of Steady Habits,Ted Thompson
The Angel,14/09/2018,n,,
Nappily Ever After,21/09/2018,y,Nappily Ever After,Trisha R. Thomas
Hold the Dark,28/09/2018,y,Hold the Dark,William Giraldi
Private Life,05/10/2018,n,,
22-Jul,10/10/2018,n,,
Apostle,12/10/2018,n,,
The Night Comes for Us,19/10/2018,n,,
Been So Long,26/10/2018,n,,
The Holiday Calendar,02/11/2018,n,,
The Other Side of the Wind,02/11/2018,n,,
Outlaw King,09/11/2018,n,,
The Princess Switch,16/11/2018,n,,
Cam,16/11/2018,n,,
The Ballad of Buster Scruggs,16/11/2018,n,,
The Christmas Chronicles,22/11/2018,n,,
A Christmas Prince: The Royal Wedding,30/11/2018,n,,
Rajma Chawal,30/11/2018,n,,
5 Star Christmas,07/12/2018,n,,
Mowgli: Legend of the Jungle,07/12/2018,y,The Jungle Book,Rudyard Kipling
Roma,14/12/2018,n,,
Bird Box,21/12/2018,y,Bird Box,Josh Malerman
Seeing Allred,09/02/2018,n,,
The Trader,09/02/2018,n,,
Ladies First,08/03/2018,n,,
Take Your Pills,16/03/2018,n,,
"Ram Dass, Going Home",06/04/2018,n,,
Mercury 13,20/04/2018,n,,
The Rachel Divide,27/04/2018,n,,
End Game,04/05/2018,n,,
Recovery Boys,29/06/2018,n,,
The Bleeding Edge,27/07/2018,n,,
City of Joy,07/09/2018,n,,
Reversing Roe,13/09/2018,n,,
Quincy,21/09/2018,n,,
Two Catalonias,28/09/2018,n,,
Lessons from a School Shooting: Notes from Dunblane,28/09/2018,n,,
Feminists: What Were They Thinking?,12/10/2018,n,,
ReMastered: Who Shot the Sheriff?,12/10/2018,n,,
Shirkers,26/10/2018,n,,
They'll Love Me When I'm Dead,02/11/2018,n,,
ReMastered: Tricky Dick & the Man in Black,02/11/2018,n,,
The American Meme,07/12/2018,n,,
ReMastered: Who Killed Jam Master Jay?,07/12/2018,n,,
"Out of Many, One",12/12/2018,n,,
Struggle: The Life and Lost Art of Szukalski,21/12/2018,n,,
Loudon Wainwright III: Surviving Twin,13/11/2018,n,,
Angela's Christmas,30/11/2018,y,Angela's Christmas (from Angela's Ashes),Frank McCourt
Springsteen on Broadway,16/12/2018,n,,
Porta dos Fundos: The Last Hangover,21/12/2018,n,,
Black Mirror: Bandersnatch,28/12/2018,n,,
Taylor Swift: Reputation Stadium Tour,31/12/2018,n,,
Zion,10/08/2018,n,,
Lionheart,04/01/2019,n,,
The Last Laugh,11/01/2019,n,,
IO,18/01/2019,n,,
Soni,18/01/2019,n,,
Polar,25/01/2019,y,Polar,Víctor Santos
Velvet Buzzsaw,01/02/2019,n,,
High Flying Bird,08/02/2019,n,,
Firebrand,22/02/2019,n,,
Paris Is Us,22/02/2019,n,,
Paddleton,22/02/2019,n,,
Walk. Ride. Rodeo.,08/03/2019,n,,
Juanita,08/03/2019,n,,
Triple Frontier,13/03/2019,n,,
Altered Carbon: Resleeved,19/03/2020,n,,
The Dirt,22/03/2019,y,The Dirt: Confessions of the World's Most Notorious Rock Band,Mötley Crüe & Neil Strauss
The Highwaymen,29/03/2019,n,,
15-Aug,29/03/2019,n,,
Unicorn Store,05/04/2019,n,,
Who Would You Take to a Deserted Island?,12/04/2019,n,,
The Perfect Date,12/04/2019,y,The Stand-In,Steve Bloom
Someone Great,19/04/2019,n,,
Music Teacher,19/04/2019,n,,
Despite Everything,03/05/2019,n,,
The Last Summer,03/05/2019,n,,
Wine Country,10/05/2019,n,,
Good Sam,16/05/2019,y,Good Sam,Dete Meserve
See You Yesterday,17/05/2019,n,,
Rim of the World,24/05/2019,n,,
The Perfection,24/05/2019,n,,
Always Be My Maybe,31/05/2019,n,,
Chopsticks,31/05/2019,n,,
Elisa & Marcela,07/06/2019,n,,
Murder Mystery,14/06/2019,n,,
Beats,19/06/2019,n,,
Point Blank,12/07/2019,n,,
Secret Obsession,18/07/2019,n,,
The Red Sea Diving Resort,31/07/2019,n,,
Otherhood,02/08/2019,y,Whatever Makes You Happy,William Sutcliffe
Jaoon Kahan Bata Ae Dil,09/08/2019,n,,
Invader Zim: Enter the Florpus,16/08/2019,n,,
Sextuplets,16/08/2019,n,,
Falling Inn Love,29/08/2019,n,,
Back to School,30/08/2019,n,,
Tall Girl,13/09/2019,n,,
